epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,611.81,0.4859,0.39416,0.95317,0.95946,0.92915,0.98189,0.73419,0.98726,0.45318,0.86112,0.000749417,0.000749417,0.000749417
141,616.033,0.48038,0.37997,0.95146,0.95923,0.94094,0.98711,0.89044,0.40655,0.32237,0.74494,0.000742815,0.000742815,0.000742815
142,620.405,0.48823,0.37995,0.95138,0.96036,0.91409,0.98314,0.835,0.60509,0.36132,0.79308,0.000736214,0.000736214,0.000736214
143,624.575,0.47921,0.37005,0.94916,0.9602,0.931,0.98593,0.81065,0.70189,0.37402,0.7907,0.000729613,0.000729613,0.000729613
144,629.018,0.47788,0.37451,0.94741,0.9559,0.92886,0.98319,0.78992,0.73973,0.40389,0.80982,0.000723011,0.000723011,0.000723011
145,633.278,0.48034,0.37635,0.9459,0.96264,0.94252,0.98633,0.81784,0.6729,0.38318,0.77694,0.00071641,0.00071641,0.00071641
146,637.672,0.48744,0.38709,0.94637,0.96113,0.94581,0.98743,0.89659,0.44413,0.3125,0.73716,0.000709809,0.000709809,0.000709809
147,642.147,0.47358,0.36653,0.94784,0.96244,0.94497,0.98766,0.90462,0.38876,0.29802,0.74458,0.000703207,0.000703207,0.000703207
148,646.831,0.47486,0.37531,0.9469,0.95997,0.93342,0.98574,0.87295,0.51996,0.33621,0.76008,0.000696606,0.000696606,0.000696606
149,651.207,0.4691,0.38064,0.94625,0.95669,0.91919,0.9832,0.81533,0.68144,0.38395,0.79456,0.000690005,0.000690005,0.000690005
150,655.534,0.4825,0.38223,0.94981,0.95913,0.94832,0.98841,0.9092,0.38166,0.28585,0.72529,0.000683403,0.000683403,0.000683403
151,659.928,0.47448,0.37942,0.94242,0.96511,0.95268,0.98932,0.88001,0.5147,0.32155,0.74041,0.000676802,0.000676802,0.000676802
152,664.202,0.47445,0.37345,0.9453,0.97154,0.94161,0.98873,0.82215,0.66181,0.3691,0.76656,0.000670201,0.000670201,0.000670201
153,668.541,0.45604,0.3653,0.935,0.96668,0.9557,0.99026,0.90911,0.41012,0.29352,0.72103,0.000663599,0.000663599,0.000663599
154,672.946,0.45561,0.36656,0.9358,0.95911,0.95134,0.98962,0.89798,0.46368,0.31221,0.73598,0.000656998,0.000656998,0.000656998
155,677.216,0.47134,0.37862,0.94288,0.95436,0.94724,0.98793,0.88777,0.44701,0.31263,0.75064,0.000650397,0.000650397,0.000650397
156,681.745,0.46504,0.36992,0.93994,0.95849,0.96088,0.99033,0.90064,0.4391,0.29643,0.73828,0.000643795,0.000643795,0.000643795
157,685.956,0.45664,0.36256,0.93836,0.96769,0.94475,0.98842,0.86757,0.53103,0.32513,0.76102,0.000637194,0.000637194,0.000637194
158,690.609,0.46663,0.36425,0.94324,0.96516,0.93879,0.98683,0.81736,0.66035,0.36525,0.77877,0.000630593,0.000630593,0.000630593
159,695.039,0.46391,0.37128,0.93605,0.96442,0.94596,0.9894,0.88724,0.47617,0.30414,0.74487,0.000623991,0.000623991,0.000623991
160,699.268,0.47106,0.36865,0.94333,0.96479,0.94597,0.9871,0.86831,0.53491,0.32641,0.7405,0.00061739,0.00061739,0.00061739
161,703.775,0.45939,0.3618,0.94107,0.96654,0.93044,0.97845,0.89787,0.38858,0.32073,0.7386,0.000610789,0.000610789,0.000610789
162,708.132,0.46043,0.36516,0.93715,0.96229,0.95904,0.99031,0.89167,0.46275,0.31012,0.7399,0.000604187,0.000604187,0.000604187
163,712.724,0.44349,0.3601,0.93518,0.96372,0.96282,0.99122,0.8417,0.63124,0.3426,0.7681,0.000597586,0.000597586,0.000597586
164,716.982,0.44534,0.35777,0.9379,0.96712,0.95733,0.99076,0.91187,0.39148,0.29306,0.73359,0.000590985,0.000590985,0.000590985
165,721.271,0.44878,0.35569,0.9388,0.97256,0.93826,0.98956,0.92248,0.31522,0.26923,0.7117,0.000584384,0.000584384,0.000584384
166,725.584,0.45463,0.35437,0.93864,0.95791,0.93944,0.986,0.89119,0.38916,0.30588,0.77023,0.000577782,0.000577782,0.000577782
167,730.115,0.4416,0.35234,0.93165,0.95969,0.96309,0.99112,0.89837,0.4896,0.31043,0.73923,0.000571181,0.000571181,0.000571181
168,734.551,0.44692,0.35551,0.93708,0.96685,0.96208,0.99112,0.90326,0.46983,0.30972,0.73433,0.00056458,0.00056458,0.00056458
169,738.752,0.44128,0.35668,0.93678,0.96509,0.96644,0.99204,0.91936,0.41801,0.28124,0.71809,0.000557978,0.000557978,0.000557978
170,743.048,0.44574,0.35754,0.93626,0.96286,0.94816,0.98806,0.90476,0.39311,0.30448,0.73268,0.000551377,0.000551377,0.000551377
171,747.244,0.44404,0.34472,0.93375,0.96268,0.96376,0.99088,0.92539,0.326,0.27443,0.7164,0.000544776,0.000544776,0.000544776
172,751.409,0.43522,0.35059,0.92914,0.96662,0.94094,0.98558,0.90842,0.36059,0.29849,0.72894,0.000538174,0.000538174,0.000538174
173,756.235,0.4497,0.36155,0.93678,0.97757,0.95068,0.99134,0.89958,0.45519,0.29778,0.73438,0.000531573,0.000531573,0.000531573
174,760.481,0.43344,0.34738,0.93509,0.96692,0.96115,0.99166,0.92143,0.43113,0.28551,0.72092,0.000524972,0.000524972,0.000524972
175,764.683,0.4248,0.33782,0.92911,0.9615,0.9547,0.99024,0.92171,0.38661,0.28573,0.71858,0.00051837,0.00051837,0.00051837
176,768.823,0.44107,0.34984,0.93326,0.97201,0.94401,0.99019,0.91662,0.38381,0.28128,0.71873,0.000511769,0.000511769,0.000511769
177,773.401,0.43772,0.35474,0.93252,0.95948,0.94899,0.98778,0.81576,0.72086,0.37664,0.78111,0.000505168,0.000505168,0.000505168
178,777.574,0.43712,0.34675,0.92987,0.96631,0.9453,0.98833,0.89921,0.4448,0.3027,0.73129,0.000498566,0.000498566,0.000498566
179,781.762,0.43896,0.33617,0.9288,0.9639,0.94799,0.98909,0.87208,0.52335,0.32633,0.76026,0.000491965,0.000491965,0.000491965
